captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260907T175340Z,https://saba.ye,21,saba.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,4122108,full,57,162
20260907T175340Z,https://saba.ye/en,21,saba.ye-en-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,1984730,full,47,166
20260907T175340Z,https://mmy.ye,21,mmy.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,1144609,full,44,162
20260907T175340Z,https://althawrah.ye,1,althawrah.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-4,4,1973,homepage-only,0,0
20260907T175340Z,https://alsyasiah.ye,21,alsyasiah.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,4583625,full,101,27
20260907T175340Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,1312229,full,184,363
20260907T175340Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260907T175340Z.warc.gz,archived,0,3219,full,0,1
20260907T175340Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,477388,full,7,98
20260907T175340Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,697310,full,9,125
20260907T175340Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,531943,full,6,134
20260907T175340Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-124,124,4008505,full,101,0
20260907T175340Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,948322,full,19,107
20260907T175340Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,6088417,full,216,0
20260907T175340Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260907T175340Z.warc.gz,archived,0,3306,full,0,1
20260907T175340Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,6003522,full,222,0
20260907T175340Z,https://cama.gov.ye/,21,cama.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,5991145,full,25,3
20260907T175340Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,1839291,full,22,131
20260907T175340Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,5211914,full,212,34
20260907T175340Z,http://hajjahmla.gov.ye/,1,hajjahmla.gov.ye-20260907T175340Z.warc.gz,archived,0,7197,full,1,0
20260907T175340Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,3427404,full,68,6
20260907T175340Z,http://indparkye.gov.ye/,4,indparkye.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,706692,full,42,100
20260907T175340Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,462130,full,40,173
20260907T175340Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,5593,full,0,3
20260907T175340Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,1412475,full,127,189
20260907T175340Z,https://moit.gov.ye/,21,moit.gov.ye-20260907T175340Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16691,full,1,0
20260907T175340Z,https://msw.gov.ye/,1,msw.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,13596,full,0,10
20260907T175340Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-124,124,1417221,full,21,484
20260907T175340Z,http://nvdl.gov.ye/,1,nvdl.gov.ye-20260907T175340Z.warc.gz,archived,0,7174,full,1,0
20260907T175340Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,524892,full,85,112
20260907T175340Z,https://tax.gov.ye/,21,tax.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,935340,full,16,90
20260907T175340Z,https://tn-search.moit.gov.ye/,1,tn-search.moit.gov.ye-20260907T175340Z.warc.gz,archived,0,30644,full,5,13
20260907T175340Z,https://training.tax.gov.ye/,5,training.tax.gov.ye-20260907T175340Z.warc.gz,archived,0,8435,full,5,0
20260907T175340Z,https://www.algumhorihosp-san.gov.ye/,16,www.algumhorihosp-san.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-1,1,465522,full,9,117
20260907T175340Z,https://www.amlcft.gov.ye/,21,www.amlcft.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,6090135,full,216,0
20260907T175340Z,https://www.cama.gov.ye/,21,www.cama.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,5936009,full,25,13
20260907T175340Z,http://www.cra.gov.ye/,16,www.cra.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-124,124,4026477,full,316,1
20260907T175340Z,http://www.ghosanaa.gov.ye/,3,www.ghosanaa.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,6658,full,1,3
20260907T175340Z,http://www.htb.gov.ye/,1,www.htb.gov.ye-20260907T175340Z.warc.gz,archived,0,3211,full,0,1
20260907T175340Z,http://www.jia.gov.ye/,1,www.jia.gov.ye-20260907T175340Z.warc.gz,archived,0,7187,full,1,0
20260907T175340Z,https://www.moit.gov.ye/,21,www.moit.gov.ye-20260907T175340Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16697,full,1,0
20260907T175340Z,https://www.tax.gov.ye/,21,www.tax.gov.ye-20260907T175340Z.warc.gz,archived-with-wget-exit-8,8,605815,full,10,96
20260907T175340Z,https://www.training.tax.gov.ye/,5,www.training.tax.gov.ye-20260907T175340Z.warc.gz,archived,0,8485,full,5,0
20260907T175340Z,https://yms.gov.ye/,9,yms.gov.ye-20260907T175340Z.warc.gz,archived,0,54179,full,2,22
20260907T175340Z,http://yrspc.gov.ye/,1,yrspc.gov.ye-20260907T175340Z.warc.gz,archived,0,4320,full,0,2
20260907T175340Z,https://ysmc.gov.ye/,1,ysmc.gov.ye-20260907T175340Z.warc.gz,archived,0,167338,full,13,1
