captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260903T044230Z,https://saba.ye,21,saba.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,2607295,full,57,165
20260903T044230Z,https://saba.ye/en,21,saba.ye-en-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,2984874,full,80,152
20260903T044230Z,https://mmy.ye,21,mmy.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,939670,full,19,171
20260903T044230Z,https://althawrah.ye,21,althawrah.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,3159385,full,46,136
20260903T044230Z,https://alsyasiah.ye,21,alsyasiah.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,4604019,full,101,27
20260903T044230Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,1313003,full,184,363
20260903T044230Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260903T044230Z.warc.gz,archived,0,3213,full,0,1
20260903T044230Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,1584734,full,20,88
20260903T044230Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,924565,full,27,107
20260903T044230Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,540497,full,7,133
20260903T044230Z,http://agoye.gov.ye/,21,agoye.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-4,4,5510974,full,142,0
20260903T044230Z,http://agriculture.gov.ye/,1,agriculture.gov.ye-20260903T044230Z.warc.gz,archived,0,7203,full,1,0
20260903T044230Z,http://albaydhahis.gov.ye/,1,albaydhahis.gov.ye-20260903T044230Z.warc.gz,archived,0,7207,full,1,0
20260903T044230Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,948428,full,19,107
20260903T044230Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,6088378,full,216,0
20260903T044230Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260903T044230Z.warc.gz,archived,0,3297,full,0,1
20260903T044230Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,3521426,full,224,0
20260903T044230Z,https://cama.gov.ye/,21,cama.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,5991240,full,25,3
20260903T044230Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,2700154,full,37,117
20260903T044230Z,http://cra.gov.ye/,16,cra.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-124,124,4081660,full,325,0
20260903T044230Z,https://en.hocc.gov.ye/,1,en.hocc.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-4,4,1967,homepage-only,0,0
20260903T044230Z,https://hasti.gov.ye/,1,hasti.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,10305096,homepage-only,17,0
20260903T044230Z,https://hocc.gov.ye/,1,hocc.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-4,4,1968,homepage-only,0,0
20260903T044230Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,706971,full,42,100
20260903T044230Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260903T044230Z.warc.gz,archived,0,843346,full,18,25
20260903T044230Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,2047102,full,41,173
20260903T044230Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,5593,full,0,3
20260903T044230Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,1412794,full,127,189
20260903T044230Z,https://moit.gov.ye/,21,moit.gov.ye-20260903T044230Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16706,full,1,0
20260903T044230Z,https://msw.gov.ye/,1,msw.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,13632,full,0,10
20260903T044230Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-124,124,1493676,full,21,540
20260903T044230Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,8294499,full,7,17
20260903T044230Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,525483,full,85,112
20260903T044230Z,https://tax.gov.ye/,21,tax.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,915115,full,15,91
20260903T044230Z,https://tn-search.moit.gov.ye/,1,tn-search.moit.gov.ye-20260903T044230Z.warc.gz,archived,0,30703,full,5,13
20260903T044230Z,https://training.tax.gov.ye/,5,training.tax.gov.ye-20260903T044230Z.warc.gz,archived,0,8456,full,5,0
20260903T044230Z,https://www.algumhorihosp-san.gov.ye/,16,www.algumhorihosp-san.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,465580,full,9,117
20260903T044230Z,https://www.amlcft.gov.ye/,21,www.amlcft.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,6090406,full,216,0
20260903T044230Z,https://www.cama.gov.ye/,21,www.cama.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,6039135,full,26,12
20260903T044230Z,https://www.hasti.gov.ye/,7,www.hasti.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,10305226,full,17,0
20260903T044230Z,https://www.mohesr.gov.ye/,20,www.mohesr.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,587250,full,83,233
20260903T044230Z,https://www.moit.gov.ye/,21,www.moit.gov.ye-20260903T044230Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16724,full,1,0
20260903T044230Z,https://www.moj.gov.ye/,21,www.moj.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-1,1,1210546,full,21,82
20260903T044230Z,https://www.tax.gov.ye/,21,www.tax.gov.ye-20260903T044230Z.warc.gz,archived-with-wget-exit-8,8,588206,full,10,96
20260903T044230Z,https://www.training.tax.gov.ye/,5,www.training.tax.gov.ye-20260903T044230Z.warc.gz,archived,0,8483,full,5,0
20260903T044230Z,https://yementp.moit.gov.ye/,1,yementp.moit.gov.ye-20260903T044230Z.warc.gz,archived,0,3303,full,0,1
