captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260918T180427Z,https://saba.ye,21,saba.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,3642325,full,51,167
20260918T180427Z,https://saba.ye/en,21,saba.ye-en-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,2023535,full,44,156
20260918T180427Z,https://mmy.ye,21,mmy.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,1468803,full,20,178
20260918T180427Z,https://althawrah.ye,21,althawrah.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,3410794,full,49,130
20260918T180427Z,https://alsyasiah.ye,21,alsyasiah.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,4604930,full,101,27
20260918T180427Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-124,124,953667,full,136,268
20260918T180427Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260918T180427Z.warc.gz,archived,0,3214,full,0,1
20260918T180427Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,195117,full,7,99
20260918T180427Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,545551,full,5,131
20260918T180427Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,530936,full,6,134
20260918T180427Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-124,124,5244880,full,127,0
20260918T180427Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-4,4,1175065,full,30,106
20260918T180427Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,6088479,full,216,0
20260918T180427Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260918T180427Z.warc.gz,archived,0,3296,full,0,1
20260918T180427Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,7044966,full,76,0
20260918T180427Z,https://cama.gov.ye/,21,cama.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,5991138,full,25,3
20260918T180427Z,https://cra.gov.ye/,16,cra.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-124,124,2773722,full,181,24
20260918T180427Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,6610199,full,63,20
20260918T180427Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,10305131,full,17,0
20260918T180427Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,3345412,full,129,22
20260918T180427Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,706750,full,42,100
20260918T180427Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,458421,full,22,193
20260918T180427Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,5589,full,0,3
20260918T180427Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,1412567,full,127,189
20260918T180427Z,https://moit.gov.ye/,21,moit.gov.ye-20260918T180427Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16631,full,1,0
20260918T180427Z,http://mom.gov.ye/,21,mom.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-124,124,25630,full,2,0
20260918T180427Z,https://msw.gov.ye/,1,msw.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-1,1,13612,full,0,10
20260918T180427Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-124,124,1307580,full,21,406
20260918T180427Z,http://nvdl.gov.ye/,1,nvdl.gov.ye-20260918T180427Z.warc.gz,archived,0,7165,full,1,0
20260918T180427Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260918T180427Z.warc.gz,archived-with-wget-exit-8,8,8051849,full,3,21
