checked_at,url,final_url,http_status,content_type,error
2026-09-21T19:52:19+00:00,https://saba.ye,https://saba.ye/ar,200,text/html,
2026-09-21T19:52:19+00:00,https://saba.ye/en,https://saba.ye/en,200,text/html,
2026-09-21T19:52:19+00:00,https://mmy.ye,https://www.mmy.ye/,200,text/html,
2026-09-21T19:52:19+00:00,https://althawrah.ye,,0,,_ssl.c:983: The handshake operation timed out
2026-09-21T19:52:19+00:00,https://alsyasiah.ye,https://alsyasiah.ye,206,text/html,
2026-09-21T19:52:19+00:00,https://sanaaradio.net.ye,,0,,timed out
2026-09-21T19:52:19+00:00,https://yemen-tv.net.ye,,0,,timed out
2026-09-21T19:52:19+00:00,https://alsahattv.com.ye,https://alsahattv.com.ye,200,text/html,
2026-09-21T19:52:20+00:00,https://www.sohobcom.ye/ar,https://www.sohobcom.ye/ar,200,text/html,
2026-09-21T19:52:20+00:00,https://www.sohobcom.ye/en,https://www.sohobcom.ye/en,200,text/html,
2026-09-21T19:52:20+00:00,https://algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,
2026-09-21T19:52:21+00:00,https://amlcft.gov.ye/,https://amlcft.gov.ye/index.php/ar/,200,text/html,
2026-09-21T19:52:21+00:00,https://ar.hocc.gov.ye/,https://ar.hocc.gov.ye/,200,text/html,
2026-09-21T19:52:21+00:00,http://area.gov.ye/,http://area.gov.ye/,200,text/html,
2026-09-21T19:52:21+00:00,https://cama.gov.ye/,https://cama.gov.ye/public/ar,200,text/html,
2026-09-21T19:52:22+00:00,https://en.hocc.gov.ye/,https://en.hocc.gov.ye/,200,text/html,
2026-09-21T19:52:22+00:00,https://gcrb.gov.ye/,https://gcrb.gov.ye/,200,text/html,
2026-09-21T19:52:23+00:00,https://hasti.gov.ye/,https://hasti.gov.ye/,200,text/html,
2026-09-21T19:52:24+00:00,https://hocc.gov.ye/,https://hocc.gov.ye/,200,text/html,
2026-09-21T19:52:24+00:00,https://indparkye.gov.ye/,https://indparkye.gov.ye/,200,text/html,
2026-09-21T19:52:24+00:00,https://innovation-record.hasti.gov.ye/,https://innovation-record.hasti.gov.ye/,200,text/html,
2026-09-21T19:52:25+00:00,https://meoh.gov.ye/,https://meoh.gov.ye/,206,text/html,
2026-09-21T19:52:25+00:00,https://mmy.gov.ye/,https://mmy.gov.ye/,206,text/html,
2026-09-21T19:52:25+00:00,https://mohesr.gov.ye/,https://mohesr.gov.ye/mohesr/,200,text/html,
2026-09-21T19:52:26+00:00,https://moit.gov.ye/,https://moit.gov.ye/,200,text/html,
2026-09-21T19:52:26+00:00,http://mom.gov.ye/,http://mom.gov.ye/,200,text/html,
2026-09-21T19:52:27+00:00,https://msw.gov.ye/,https://msw.gov.ye/,206,text/html,
2026-09-21T19:52:28+00:00,https://nsw.gov.ye/,https://nsw.gov.ye/,200,text/html,
2026-09-21T19:52:28+00:00,https://olympics.hasti.gov.ye/,https://olympics.hasti.gov.ye/,200,text/html,
2026-09-21T19:52:29+00:00,https://research-priorities.hasti.gov.ye/,https://research-priorities.hasti.gov.ye/,200,text/html,
2026-09-21T19:52:29+00:00,http://sadah.gov.ye/,http://sadah.gov.ye/,200,text/html,
2026-09-21T19:52:29+00:00,http://shoora.gov.ye/,http://shoora.gov.ye/,200,text/html,
2026-09-21T19:52:29+00:00,http://suerp.gov.ye/,http://suerp.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-21T19:52:29+00:00,https://tax.gov.ye/,https://tax.gov.ye/,200,text/html,
2026-09-21T19:52:30+00:00,https://tn-search.moit.gov.ye/,https://tn-search.moit.gov.ye/,200,text/html,
2026-09-21T19:52:30+00:00,https://training.tax.gov.ye/,https://training.tax.gov.ye/,206,text/html,
2026-09-21T19:52:30+00:00,https://www.algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,
2026-09-21T19:52:30+00:00,https://www.amlcft.gov.ye/,https://www.amlcft.gov.ye/index.php/ar/,200,text/html,
2026-09-21T19:52:30+00:00,https://www.cama.gov.ye/,https://www.cama.gov.ye/public/ar,200,text/html,
2026-09-21T19:52:30+00:00,https://www.ghosanaa.gov.ye/,https://www.ghosanaa.gov.ye/,200,text/html,
2026-09-21T19:52:31+00:00,https://www.hasti.gov.ye/,https://www.hasti.gov.ye/,200,text/html,
2026-09-21T19:52:31+00:00,https://www.hocc.gov.ye/,https://www.hocc.gov.ye/,200,text/html,
2026-09-21T19:52:31+00:00,http://www.mohesr.gov.ye/,https://mohesr.gov.ye/mohesr/,200,text/html,
2026-09-21T19:52:32+00:00,https://www.moit.gov.ye/,https://www.moit.gov.ye/,200,text/html,
2026-09-21T19:52:32+00:00,http://www.nvdl.gov.ye/,http://www.nvdl.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-21T19:52:32+00:00,http://www.pgfpp.gov.ye/,http://www.pgfpp.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-21T19:52:32+00:00,http://www.suerp.gov.ye/,http://www.suerp.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-21T19:52:33+00:00,https://www.tax.gov.ye/,https://tax.gov.ye/,200,text/html,
2026-09-21T19:52:33+00:00,https://www.training.tax.gov.ye/,https://www.training.tax.gov.ye/,206,text/html,
2026-09-21T19:52:33+00:00,http://www.yms.gov.ye/,,0,,timed out
2026-09-21T19:52:34+00:00,https://www.ysmc.gov.ye/,https://www.ysmc.gov.ye/,200,text/html,
2026-09-21T19:52:35+00:00,https://yementp.moit.gov.ye/,https://yementp.moit.gov.ye/,206,text/html,
2026-09-21T19:52:35+00:00,http://yemenvision.gov.ye/,http://yemenvision.gov.ye/,200,text/html,
2026-09-21T19:52:36+00:00,https://yms.gov.ye/,https://yms.gov.ye/,200,text/html,
2026-09-21T19:52:36+00:00,http://yrspc.gov.ye/,http://yrspc.gov.ye/,206,text/html,
2026-09-21T19:52:37+00:00,https://ysmc.gov.ye/,https://ysmc.gov.ye/,200,text/html,
