captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260921T195243Z,https://saba.ye,21,saba.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,5547355,full,60,132
20260921T195243Z,https://saba.ye/en,21,saba.ye-en-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,996490,full,28,119
20260921T195243Z,https://mmy.ye,21,mmy.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,960084,full,19,184
20260921T195243Z,https://althawrah.ye,1,althawrah.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-4,4,1971,homepage-only,0,0
20260921T195243Z,https://alsyasiah.ye,21,alsyasiah.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-1,1,4564171,full,100,28
20260921T195243Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-124,124,1117043,full,159,315
20260921T195243Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260921T195243Z.warc.gz,archived,0,3214,full,0,1
20260921T195243Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,303023,full,7,99
20260921T195243Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260921T195243Z.warc.gz,archived-with-wget-exit-1,1,546305,full,5,131
20260921T195243Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260921T195243Z.warc.gz,archived-with-wget-exit-1,1,533590,full,6,135
20260921T195243Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-1,1,948333,full,19,107
20260921T195243Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,6088328,full,216,0
20260921T195243Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,6050839,full,191,0
20260921T195243Z,http://area.gov.ye/,21,area.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-124,124,2130,full,0,1
20260921T195243Z,https://cama.gov.ye/,21,cama.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,5886342,full,24,3
20260921T195243Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,6310818,full,62,20
20260921T195243Z,https://gcrb.gov.ye/,21,gcrb.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,8691474,full,95,0
20260921T195243Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-1,1,10305073,full,17,0
20260921T195243Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260921T195243Z.warc.gz,archived-with-wget-exit-8,8,6692997,full,170,0
