checked_at,host,selected_url,final_url,http_status,content_type,sources,error
2026-08-26T13:57:20+00:00,acf.gov.ye,,,0,,hackertarget;inventory;rapiddns,https: _ssl.c:983: The handshake operation timed out | http: timed out
2026-08-26T13:57:20+00:00,aden.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,adenradio.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,afmis.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,afy.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,aghhajjah.gov.ye,http://aghhajjah.gov.ye/,http://aghhajjah.gov.ye/,200,text/html,hackertarget;inventory,
2026-08-26T13:57:20+00:00,agoye.gov.ye,https://agoye.gov.ye/,https://agoye.gov.ye/,200,text/html,hackertarget;inventory,
2026-08-26T13:57:20+00:00,agriculture.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,airtransport.gov.ye,,,0,,hackertarget;inventory,https: The read operation timed out | http: timed out
2026-08-26T13:57:20+00:00,albaydhahis.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,algumhorihosp-san.gov.ye,https://algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,hackertarget;inventory;pinned,
2026-08-26T13:57:20+00:00,alqdhaeih.moj.gov.ye,,,0,,inventory;rapiddns,https: [Errno -2] Name or service not known | http: [Errno -2] Name or service not known
2026-08-26T13:57:20+00:00,althawra.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,alwahda.gov.ye,,,0,,hackertarget;inventory,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,amanaedu.gov.ye,,,0,,hackertarget;inventory;rapiddns,https: timed out | http: timed out
2026-08-26T13:57:20+00:00,amlcft.gov.ye,https://amlcft.gov.ye/,https://amlcft.gov.ye/index.php/ar/,200,text/html,hackertarget;inventory,
2026-08-26T13:57:20+00:00,amranhealth.gov.ye,,,0,,hackertarget;inventory;rapiddns,https: timed out | http: timed out
