captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260826T180812Z,https://saba.ye,21,saba.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,1590735,full,22,138
20260826T180812Z,https://saba.ye/en,21,saba.ye-en-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,3635769,full,107,75
20260826T180812Z,https://mmy.ye,21,mmy.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,831108,full,9,197
20260826T180812Z,https://althawrah.ye,21,althawrah.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,2590836,full,38,144
20260826T180812Z,https://alsyasiah.ye,21,alsyasiah.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,5098740,full,125,0
20260826T180812Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-124,124,7636419,full,444,0
20260826T180812Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260826T180812Z.warc.gz,archived,0,3334,full,1,0
20260826T180812Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,6567505,full,105,0
20260826T180812Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,4591325,full,136,0
20260826T180812Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,526568,full,5,135
20260826T180812Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,919449,full,18,108
20260826T180812Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,616395,full,45,171
20260826T180812Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,4382853,full,58,24
20260826T180812Z,https://cama.gov.ye/,21,cama.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,192812,full,2,26
20260826T180812Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,3379720,full,41,111
20260826T180812Z,https://cra.gov.ye/,16,cra.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-124,124,185684,full,10,91
20260826T180812Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,5928980,full,68,22
20260826T180812Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,8118279,full,4,13
20260826T180812Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,6302907,full,193,0
20260826T180812Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,706898,full,42,100
20260826T180812Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260826T180812Z.warc.gz,archived,0,843230,full,18,25
20260826T180812Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,465147,full,19,181
20260826T180812Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,5578,full,0,3
20260826T180812Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,1413177,full,127,189
20260826T180812Z,https://moit.gov.ye/,21,moit.gov.ye-20260826T180812Z.warc.gz,archived-homepage-only-hard-limit-fallback,4,1943,full,0,0
20260826T180812Z,http://mom.gov.ye/,21,mom.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-124,124,25820,full,2,0
20260826T180812Z,https://msw.gov.ye/,1,msw.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,13612,full,0,10
20260826T180812Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-124,124,1199847,full,15,417
20260826T180812Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-4,4,9103683,full,21,19
20260826T180812Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,525221,full,85,112
20260826T180812Z,http://shoora.gov.ye/,1,shoora.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-4,4,2429,homepage-only,0,0
20260826T180812Z,https://tax.gov.ye/,21,tax.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,643954,full,11,95
20260826T180812Z,https://tn-search.moit.gov.ye/,1,tn-search.moit.gov.ye-20260826T180812Z.warc.gz,archived,0,30727,homepage-only,5,13
20260826T180812Z,https://training.tax.gov.ye/,5,training.tax.gov.ye-20260826T180812Z.warc.gz,archived,0,8458,full,5,0
20260826T180812Z,https://www.algumhorihosp-san.gov.ye/,16,www.algumhorihosp-san.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-1,1,465153,full,9,117
20260826T180812Z,http://www.cra.gov.ye/,16,www.cra.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-124,124,3415565,full,277,1
20260826T180812Z,http://www.htb.gov.ye/,1,www.htb.gov.ye-20260826T180812Z.warc.gz,archived,0,7181,full,1,0
20260826T180812Z,https://www.mohesr.gov.ye/,20,www.mohesr.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-8,8,587517,full,83,233
20260826T180812Z,https://www.training.tax.gov.ye/,5,www.training.tax.gov.ye-20260826T180812Z.warc.gz,archived,0,8500,full,5,0
20260826T180812Z,http://yementp.moit.gov.ye/,1,yementp.moit.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-4,4,1972,homepage-only,0,0
20260826T180812Z,http://yemenvision.gov.ye/,21,yemenvision.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-124,124,26361,full,1,0
20260826T180812Z,https://yms.gov.ye/,1,yms.gov.ye-20260826T180812Z.warc.gz,archived,0,3385,full,0,1
20260826T180812Z,https://ysmc.gov.ye/,1,ysmc.gov.ye-20260826T180812Z.warc.gz,archived-with-wget-exit-4,4,1966,homepage-only,0,0
