captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260920T175650Z,https://saba.ye,21,saba.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,2931038,full,61,170
20260920T175650Z,https://saba.ye/en,21,saba.ye-en-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,850713,full,23,177
20260920T175650Z,https://mmy.ye,21,mmy.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,1077061,full,21,182
20260920T175650Z,https://althawrah.ye,1,althawrah.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-4,4,1979,homepage-only,0,0
20260920T175650Z,https://alsyasiah.ye,21,alsyasiah.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-1,1,4714987,full,104,28
20260920T175650Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-124,124,986140,full,147,280
20260920T175650Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260920T175650Z.warc.gz,archived,0,3216,full,0,1
20260920T175650Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,280408,full,7,99
20260920T175650Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260920T175650Z.warc.gz,archived-with-wget-exit-1,1,550055,full,5,129
20260920T175650Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260920T175650Z.warc.gz,archived-with-wget-exit-1,1,532328,full,6,135
20260920T175650Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-124,124,4008016,full,101,0
20260920T175650Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-1,1,948197,full,19,107
20260920T175650Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,6088131,full,216,0
20260920T175650Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,6967290,full,76,0
20260920T175650Z,https://cama.gov.ye/,21,cama.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,5990914,full,25,3
20260920T175650Z,https://caqa.gov.ye/,1,caqa.gov.ye-20260920T175650Z.warc.gz,archived,0,1521752,homepage-only,16,109
20260920T175650Z,https://cra.gov.ye/,16,cra.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-124,124,1932016,full,100,1
20260920T175650Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,6113529,full,63,20
20260920T175650Z,https://gasmed.gov.ye/,1,gasmed.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-124,124,1902185,homepage-only,27,74
20260920T175650Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-1,1,10305095,full,17,0
20260920T175650Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,3914222,full,89,21
20260920T175650Z,http://htb.gov.ye/,1,htb.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-4,4,2419,homepage-only,0,0
20260920T175650Z,https://indparkye.gov.ye/,1,indparkye.gov.ye-20260920T175650Z.warc.gz,archived-with-wget-exit-8,8,391894,homepage-only,25,59
20260920T175650Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260920T175650Z.warc.gz,archived,0,843290,full,18,25
