captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260910T180340Z,https://saba.ye,21,saba.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-8,8,3909370,full,38,167
20260910T180340Z,https://saba.ye/en,21,saba.ye-en-20260910T180340Z.warc.gz,archived-with-wget-exit-8,8,1401920,full,41,146
20260910T180340Z,https://mmy.ye,21,mmy.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-8,8,1128506,full,21,186
20260910T180340Z,https://althawrah.ye,21,althawrah.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-1,1,3076514,full,46,136
20260910T180340Z,https://alsyasiah.ye,21,alsyasiah.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-1,1,4605006,full,101,27
20260910T180340Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-124,124,960087,full,136,273
20260910T180340Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260910T180340Z.warc.gz,archived,0,3222,full,0,1
20260910T180340Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-8,8,312134,full,7,98
20260910T180340Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260910T180340Z.warc.gz,archived-with-wget-exit-1,1,1041623,full,26,110
20260910T180340Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260910T180340Z.warc.gz,archived-with-wget-exit-1,1,539675,full,7,133
20260910T180340Z,http://albaydhahis.gov.ye/,1,albaydhahis.gov.ye-20260910T180340Z.warc.gz,archived,0,3224,full,0,1
20260910T180340Z,https://algumhorihosp-san.gov.ye/,1,algumhorihosp-san.gov.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-1,1,948342,homepage-only,19,107
20260910T180340Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-8,8,6088570,full,216,0
20260910T180340Z,http://amranhealth.gov.ye/,1,amranhealth.gov.ye-20260910T180340Z.warc.gz,archived,0,7200,full,1,0
20260910T180340Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260910T180340Z.warc.gz,archived,0,3300,full,0,1
20260910T180340Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260910T180340Z.warc.gz,archived-with-wget-exit-8,8,5833677,full,140,0
