captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260829T071308Z,https://saba.ye,21,saba.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-8,8,2040659,full,32,129
20260829T071308Z,https://saba.ye/en,21,saba.ye-en-20260829T071308Z.warc.gz,archived-with-wget-exit-8,8,1458056,full,46,146
20260829T071308Z,https://mmy.ye,21,mmy.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-8,8,1061753,full,20,186
20260829T071308Z,https://althawrah.ye,21,althawrah.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-1,1,2774576,full,40,141
20260829T071308Z,https://alsyasiah.ye,21,alsyasiah.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-1,1,4603750,full,101,27
20260829T071308Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-124,124,1213260,full,168,339
20260829T071308Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260829T071308Z.warc.gz,archived,0,3215,full,0,1
20260829T071308Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-8,8,947114,full,11,97
20260829T071308Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260829T071308Z.warc.gz,archived-with-wget-exit-1,1,544052,full,5,132
20260829T071308Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260829T071308Z.warc.gz,archived-with-wget-exit-1,1,532304,full,6,136
20260829T071308Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-124,124,4008308,full,101,0
20260829T071308Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260829T071308Z.warc.gz,archived-with-wget-exit-1,1,948311,full,19,107
20260829T071308Z,http://amranhealth.gov.ye/,1,amranhealth.gov.ye-20260829T071308Z.warc.gz,archived,0,7195,full,1,0
