captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260911T181033Z,https://saba.ye,21,saba.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,2657913,full,58,111
20260911T181033Z,https://saba.ye/en,21,saba.ye-en-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,1192755,full,46,109
20260911T181033Z,https://mmy.ye,21,mmy.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,1062645,full,20,186
20260911T181033Z,https://althawrah.ye,21,althawrah.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-1,1,2684271,full,39,142
20260911T181033Z,https://alsyasiah.ye,21,alsyasiah.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-1,1,4826448,full,122,2
20260911T181033Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,1312807,full,184,363
20260911T181033Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260911T181033Z.warc.gz,archived,0,3212,full,0,1
20260911T181033Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,211667,full,7,99
20260911T181033Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260911T181033Z.warc.gz,archived-with-wget-exit-1,1,551962,full,5,129
20260911T181033Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260911T181033Z.warc.gz,archived-with-wget-exit-1,1,546391,full,7,134
20260911T181033Z,http://aghhajjah.gov.ye/,21,aghhajjah.gov.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-124,124,27394,full,1,0
20260911T181033Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-124,124,4008188,full,101,0
20260911T181033Z,http://agriculture.gov.ye/,1,agriculture.gov.ye-20260911T181033Z.warc.gz,archived,0,7214,full,1,0
20260911T181033Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-1,1,948275,full,19,107
20260911T181033Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,6088338,full,216,0
20260911T181033Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260911T181033Z.warc.gz,archived,0,3299,full,0,1
20260911T181033Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,3520668,full,224,0
20260911T181033Z,https://cama.gov.ye/,21,cama.gov.ye-20260911T181033Z.warc.gz,archived-with-wget-exit-8,8,5991212,full,25,3
