captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260924T185027Z,https://saba.ye,21,saba.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,2248402,full,56,158
20260924T185027Z,https://saba.ye/en,21,saba.ye-en-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,968221,full,28,130
20260924T185027Z,https://mmy.ye,21,mmy.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,643463,full,12,99
20260924T185027Z,https://althawrah.ye,1,althawrah.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,1760747,homepage-only,24,83
20260924T185027Z,https://alsyasiah.ye,21,alsyasiah.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,4874660,full,123,2
20260924T185027Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-124,124,1233453,full,173,350
20260924T185027Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260924T185027Z.warc.gz,archived,0,3213,full,0,1
20260924T185027Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,887321,full,7,87
20260924T185027Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,546868,full,5,129
20260924T185027Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,542361,full,7,133
20260924T185027Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,948195,full,19,107
20260924T185027Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,6088349,full,216,0
20260924T185027Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260924T185027Z.warc.gz,archived,0,3287,full,0,1
20260924T185027Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,5310877,full,328,0
20260924T185027Z,https://cama.gov.ye/,21,cama.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,5991081,full,25,3
20260924T185027Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,1831438,full,24,133
20260924T185027Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-124,124,358930,full,14,1
20260924T185027Z,https://gcrb.gov.ye/,21,gcrb.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,163490,full,15,80
20260924T185027Z,https://hasti.gov.ye/,9,hasti.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,10310110,full,17,0
20260924T185027Z,https://hocc.gov.ye/,1,hocc.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-4,4,1960,homepage-only,0,0
20260924T185027Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,706826,full,42,100
20260924T185027Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260924T185027Z.warc.gz,archived,0,843203,full,18,25
20260924T185027Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-1,1,428015,full,24,190
20260924T185027Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,5595,full,0,3
20260924T185027Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260924T185027Z.warc.gz,archived-with-wget-exit-8,8,1412553,full,127,189
