captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260827T130150Z,https://saba.ye,21,saba.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,950104,full,51,143
20260827T130150Z,https://saba.ye/en,21,saba.ye-en-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,635556,full,39,149
20260827T130150Z,https://mmy.ye,21,mmy.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-4,4,1061080,full,20,185
20260827T130150Z,https://althawrah.ye,21,althawrah.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,2543994,full,37,144
20260827T130150Z,https://alsyasiah.ye,21,alsyasiah.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,4604110,full,101,27
20260827T130150Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,1312170,full,184,363
20260827T130150Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260827T130150Z.warc.gz,archived,0,3210,full,0,1
20260827T130150Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,248585,full,7,101
20260827T130150Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,545983,full,5,133
20260827T130150Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,530831,full,6,134
20260827T130150Z,http://agoye.gov.ye/,21,agoye.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-124,124,5105870,full,123,0
20260827T130150Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,948407,full,19,107
20260827T130150Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,6088769,full,216,0
20260827T130150Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260827T130150Z.warc.gz,archived,0,3827,full,1,0
20260827T130150Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,3488761,full,225,0
20260827T130150Z,https://cama.gov.ye/,21,cama.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,5886418,full,24,3
20260827T130150Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,1818392,full,34,122
20260827T130150Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,2777219,full,292,56
20260827T130150Z,http://hajjahmla.gov.ye/,1,hajjahmla.gov.ye-20260827T130150Z.warc.gz,archived,0,3218,full,0,1
20260827T130150Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,10305147,full,17,0
20260827T130150Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-124,124,4920855,full,300,0
20260827T130150Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,707179,full,42,100
20260827T130150Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260827T130150Z.warc.gz,archived,0,843128,full,18,25
20260827T130150Z,http://jia.gov.ye/,1,jia.gov.ye-20260827T130150Z.warc.gz,archived,0,7169,full,1,0
20260827T130150Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,5590,full,0,3
20260827T130150Z,http://mocsi.gov.ye/,21,mocsi.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-124,124,8699,full,1,0
20260827T130150Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,1412437,full,127,189
20260827T130150Z,https://moit.gov.ye/,21,moit.gov.ye-20260827T130150Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16592,full,1,0
20260827T130150Z,https://msw.gov.ye/,1,msw.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,13626,full,0,10
20260827T130150Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-124,124,1657664,full,20,602
20260827T130150Z,http://nvdl.gov.ye/,1,nvdl.gov.ye-20260827T130150Z.warc.gz,archived,0,7166,full,1,0
20260827T130150Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-4,4,8344206,full,8,16
20260827T130150Z,http://pgfpp.gov.ye/,1,pgfpp.gov.ye-20260827T130150Z.warc.gz,archived,0,7176,full,1,0
20260827T130150Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,525640,full,85,112
20260827T130150Z,http://sadah.gov.ye/,21,sadah.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-124,124,17875,full,1,0
20260827T130150Z,https://tax.gov.ye/,21,tax.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,932606,full,15,91
20260827T130150Z,https://tn-search.moit.gov.ye/,1,tn-search.moit.gov.ye-20260827T130150Z.warc.gz,archived,0,30719,full,5,13
20260827T130150Z,https://training.tax.gov.ye/,5,training.tax.gov.ye-20260827T130150Z.warc.gz,archived,0,8450,full,5,0
20260827T130150Z,https://www.algumhorihosp-san.gov.ye/,16,www.algumhorihosp-san.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,423747,full,4,122
20260827T130150Z,https://www.amlcft.gov.ye/,21,www.amlcft.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,6089962,full,216,0
20260827T130150Z,https://www.cama.gov.ye/,21,www.cama.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,6066755,full,26,12
20260827T130150Z,https://www.hasti.gov.ye/,7,www.hasti.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,10305276,full,17,0
20260827T130150Z,https://www.mohesr.gov.ye/,20,www.mohesr.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,587521,full,83,233
20260827T130150Z,https://www.moit.gov.ye/,21,www.moit.gov.ye-20260827T130150Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16584,full,1,0
20260827T130150Z,https://www.moj.gov.ye/,21,www.moj.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-1,1,6093810,full,99,0
20260827T130150Z,https://www.tax.gov.ye/,21,www.tax.gov.ye-20260827T130150Z.warc.gz,archived-with-wget-exit-8,8,550451,full,9,97
