captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260916T184034Z,https://saba.ye,1,saba.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-4,4,1984,homepage-only,0,0
20260916T184034Z,https://saba.ye/en,1,saba.ye-en-20260916T184034Z.warc.gz,archived-with-wget-exit-4,4,1987,homepage-only,0,0
20260916T184034Z,https://mmy.ye,21,mmy.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-4,4,1164955,full,28,177
20260916T184034Z,https://althawrah.ye,21,althawrah.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-1,1,3179063,full,46,136
20260916T184034Z,https://alsyasiah.ye,21,alsyasiah.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-1,1,4515054,full,99,29
20260916T184034Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-124,124,1221080,full,168,346
20260916T184034Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260916T184034Z.warc.gz,archived,0,3217,full,0,1
20260916T184034Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-8,8,258226,full,7,99
20260916T184034Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260916T184034Z.warc.gz,archived-with-wget-exit-1,1,1878077,full,89,47
20260916T184034Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260916T184034Z.warc.gz,archived-with-wget-exit-1,1,537354,full,7,133
20260916T184034Z,http://agoye.gov.ye/,21,agoye.gov.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-124,124,5105434,full,123,0
20260916T184034Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-1,1,948450,full,19,107
20260916T184034Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-8,8,6088335,full,216,0
20260916T184034Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260916T184034Z.warc.gz,archived-with-wget-exit-8,8,5167185,full,328,0
