checked_at,url,final_url,http_status,content_type,error
2026-09-16T18:40:02+00:00,https://saba.ye,,0,,[Errno -3] Temporary failure in name resolution
2026-09-16T18:40:02+00:00,https://saba.ye/en,,0,,[Errno -3] Temporary failure in name resolution
2026-09-16T18:40:02+00:00,https://mmy.ye,https://www.mmy.ye/,200,text/html,
2026-09-16T18:40:02+00:00,https://althawrah.ye,https://althawrah.ye,200,text/html,
2026-09-16T18:40:02+00:00,https://alsyasiah.ye,https://alsyasiah.ye,206,text/html,
2026-09-16T18:40:02+00:00,https://sanaaradio.net.ye,,0,,timed out
2026-09-16T18:40:02+00:00,https://yemen-tv.net.ye,,0,,timed out
2026-09-16T18:40:02+00:00,https://alsahattv.com.ye,https://alsahattv.com.ye,200,text/html,
2026-09-16T18:40:03+00:00,https://www.sohobcom.ye/ar,https://www.sohobcom.ye/ar,200,text/html,
2026-09-16T18:40:03+00:00,https://www.sohobcom.ye/en,https://www.sohobcom.ye/en,200,text/html,
2026-09-16T18:40:03+00:00,http://agoye.gov.ye/,,0,,timed out
2026-09-16T18:40:04+00:00,https://algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,
2026-09-16T18:40:04+00:00,https://amlcft.gov.ye/,https://amlcft.gov.ye/index.php/ar/,200,text/html,
2026-09-16T18:40:05+00:00,https://ar.hocc.gov.ye/,https://ar.hocc.gov.ye/,200,text/html,
2026-09-16T18:40:06+00:00,https://cama.gov.ye/,https://cama.gov.ye/public/ar,200,text/html,
2026-09-16T18:40:06+00:00,https://caqa.gov.ye/,,0,,timed out
2026-09-16T18:40:07+00:00,https://cra.gov.ye/,https://cra.gov.ye/,200,text/html,
2026-09-16T18:40:08+00:00,https://en.hocc.gov.ye/,https://en.hocc.gov.ye/,200,text/html,
2026-09-16T18:40:09+00:00,https://hasti.gov.ye/,https://hasti.gov.ye/,200,text/html,
2026-09-16T18:40:12+00:00,https://hocc.gov.ye/,https://hocc.gov.ye/,200,text/html,
2026-09-16T18:40:12+00:00,https://indparkye.gov.ye/,https://indparkye.gov.ye/,200,text/html,
2026-09-16T18:40:12+00:00,https://meoh.gov.ye/,https://meoh.gov.ye/,206,text/html,
2026-09-16T18:40:13+00:00,https://mmy.gov.ye/,https://mmy.gov.ye/,206,text/html,
2026-09-16T18:40:13+00:00,http://mocsi.gov.ye/,http://mocsi.gov.ye/,200,text/html,
2026-09-16T18:40:13+00:00,https://mohesr.gov.ye/,https://mohesr.gov.ye/mohesr/,200,text/html,
2026-09-16T18:40:13+00:00,https://moit.gov.ye/,,0,,timed out
2026-09-16T18:40:13+00:00,https://msw.gov.ye/,https://msw.gov.ye/,206,text/html,
2026-09-16T18:40:14+00:00,https://nsw.gov.ye/,https://nsw.gov.ye/,200,text/html,
2026-09-16T18:40:15+00:00,http://nvdl.gov.ye/,http://nvdl.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-16T18:40:15+00:00,https://olympics.hasti.gov.ye/,,0,,timed out
2026-09-16T18:40:16+00:00,http://pgfpp.gov.ye/,http://pgfpp.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-16T18:40:16+00:00,https://research-priorities.hasti.gov.ye/,https://research-priorities.hasti.gov.ye/,200,text/html,
2026-09-16T18:40:16+00:00,https://tn-search.moit.gov.ye/,,0,,timed out
2026-09-16T18:40:18+00:00,http://training.tax.gov.ye/,http://training.tax.gov.ye/,206,text/html,
2026-09-16T18:40:18+00:00,https://www.algumhorihosp-san.gov.ye/,,0,,timed out
2026-09-16T18:40:18+00:00,https://www.amlcft.gov.ye/,https://www.amlcft.gov.ye/index.php/ar/,200,text/html,
2026-09-16T18:40:19+00:00,https://www.cama.gov.ye/,https://www.cama.gov.ye/public/ar,200,text/html,
2026-09-16T18:40:20+00:00,https://www.hasti.gov.ye/,https://www.hasti.gov.ye/,200,text/html,
2026-09-16T18:40:21+00:00,https://www.moit.gov.ye/,https://www.moit.gov.ye/,200,text/html,
2026-09-16T18:40:22+00:00,https://www.moj.gov.ye/,https://www.moj.gov.ye/,200,text/html,
2026-09-16T18:40:22+00:00,http://www.nvdl.gov.ye/,http://www.nvdl.gov.ye/cgi-sys/suspendedpage.cgi,200,text/html,
2026-09-16T18:40:23+00:00,https://www.training.tax.gov.ye/,https://www.training.tax.gov.ye/,206,text/html,
2026-09-16T18:40:23+00:00,https://yementp.moit.gov.ye/,https://yementp.moit.gov.ye/,206,text/html,
2026-09-16T18:40:23+00:00,https://yms.gov.ye/,https://yms.gov.ye/,200,text/html,
2026-09-16T18:40:24+00:00,http://yrspc.gov.ye/,http://yrspc.gov.ye/,206,text/html,
2026-09-16T18:40:24+00:00,https://ysmc.gov.ye/,,0,,timed out
