captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260922T183029Z,https://saba.ye,21,saba.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,2650650,full,57,134
20260922T183029Z,https://saba.ye/en,21,saba.ye-en-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,935804,full,28,119
20260922T183029Z,https://mmy.ye,21,mmy.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,3699650,full,9,102
20260922T183029Z,https://althawrah.ye,1,althawrah.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-4,4,1967,homepage-only,0,0
20260922T183029Z,https://alsyasiah.ye,21,alsyasiah.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,4563067,full,100,28
20260922T183029Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-124,124,989404,full,148,282
20260922T183029Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260922T183029Z.warc.gz,archived,0,3220,full,0,1
20260922T183029Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,303231,full,7,99
20260922T183029Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,542945,full,5,132
20260922T183029Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,535357,full,7,135
20260922T183029Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,1015725,full,29,97
20260922T183029Z,http://amanaedu.gov.ye/,1,amanaedu.gov.ye-20260922T183029Z.warc.gz,archived,0,7184,full,1,0
20260922T183029Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,6088556,full,216,0
20260922T183029Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,5866374,full,159,0
20260922T183029Z,https://cama.gov.ye/,21,cama.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,5991078,full,25,3
20260922T183029Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,2532923,full,36,118
20260922T183029Z,http://cra.gov.ye/,16,cra.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-124,124,3321736,full,267,1
20260922T183029Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,6550074,full,63,20
20260922T183029Z,https://gcrb.gov.ye/,21,gcrb.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,801210,full,19,76
20260922T183029Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-124,124,4930372,full,165,1
20260922T183029Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,706730,full,42,100
20260922T183029Z,https://innovation-record.hasti.gov.ye/,1,innovation-record.hasti.gov.ye-20260922T183029Z.warc.gz,archived,0,203159,homepage-only,3,5
20260922T183029Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,462523,full,25,189
20260922T183029Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,5595,full,0,3
20260922T183029Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-8,8,1412420,full,127,189
20260922T183029Z,http://moit.gov.ye/,21,moit.gov.ye-20260922T183029Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16707,full,1,0
20260922T183029Z,https://msw.gov.ye/,1,msw.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-1,1,13617,full,0,10
20260922T183029Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260922T183029Z.warc.gz,archived-with-wget-exit-124,124,1329363,full,21,421
20260922T183029Z,http://nvdl.gov.ye/,1,nvdl.gov.ye-20260922T183029Z.warc.gz,archived,0,7174,full,1,0
20260922T183029Z,http://pgfpp.gov.ye/,1,pgfpp.gov.ye-20260922T183029Z.warc.gz,archived,0,7176,full,1,0
