captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260919T174559Z,https://saba.ye,21,saba.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-8,8,3267816,full,36,148
20260919T174559Z,https://saba.ye/en,21,saba.ye-en-20260919T174559Z.warc.gz,archived-with-wget-exit-8,8,5288806,full,52,142
20260919T174559Z,https://mmy.ye,21,mmy.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-4,4,958766,full,19,183
20260919T174559Z,https://althawrah.ye,1,althawrah.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-4,4,1969,homepage-only,0,0
20260919T174559Z,https://alsyasiah.ye,21,alsyasiah.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-1,1,4562497,full,100,28
20260919T174559Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-124,124,983473,full,145,280
20260919T174559Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260919T174559Z.warc.gz,archived,0,3219,full,0,1
20260919T174559Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-8,8,221811,full,7,99
20260919T174559Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260919T174559Z.warc.gz,archived-with-wget-exit-1,1,551657,full,5,129
20260919T174559Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260919T174559Z.warc.gz,archived-with-wget-exit-1,1,531059,full,6,134
20260919T174559Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-124,124,4008259,full,101,0
20260919T174559Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-1,1,948212,full,19,107
20260919T174559Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260919T174559Z.warc.gz,archived-with-wget-exit-8,8,6088110,full,216,0
