release,completed_at,targets,warcs,observed_govye,reachable_govye,response_records,revisit_records,metadata_version,methodology_version,workflow_commit,methodology_sha256,pinned_inventory_sha256,accumulated_inventory_sha256,selected_targets_sha256,candidate_count,unreachable_count,excluded_count,targets_with_records,empty_captures,hard_limit_fallbacks,complete_failures,clean_wget_outcomes,non_clean_wget_outcomes,warc_bytes
archive-2026-09-11-18,2026-09-11T18:49:34Z,59,59,329,49,2178,3132,2.0.0,2.0.0,4a413fd737f21ea7615162888bfe4af9fbb2c77d,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,f208f0c680d77610d9f7610938149b926a0984f1c413140bc1d1a906e6e599c5,329,267,13,53,6,1,0,18,41,66056932
archive-2026-09-12-19,2026-09-12T18:22:02Z,50,50,329,40,2298,2958,2.0.0,2.0.0,ed04f2b72b3fc3165104b9cac563ee14af709c73,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,d51f08971ba6efb7ccaa9c06e9e4498584117741955e6fc312046ee61897fd55,329,276,13,50,0,2,0,14,36,116977586
archive-2026-09-13-20,2026-09-13T18:29:49Z,63,63,329,53,2880,3115,2.0.0,2.0.0,b59d806caf33039b41ed2aa7e9c0053f3725fb4c,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,03040f3441985472df82337d844333f19468e7a45a282fd3bfb20a8f25c5a42d,329,258,18,63,0,3,0,25,38,110824578
archive-2026-09-14-21,2026-09-14T20:15:11Z,56,56,329,46,1485,2186,2.0.0,2.0.0,bf2858589a4ac3f57f4d470383c55de27f08ea00,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,69c6ccad05c43abe89b46a0e5a8e9cc6a64ac8b527589ef4a5b0b3a91a54bf69,329,271,12,51,5,0,0,23,33,67917560
archive-2026-09-15-22,2026-09-15T19:14:04Z,48,48,329,38,1686,2767,2.0.0,2.0.0,555d3ae112244305178589ec207dd8f2894b1521,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,fc383abdff5478038bace15f6bc187d3368928e1460635d7f9fc550b2f44fda2,329,278,13,48,0,2,0,15,33,95031919
archive-2026-09-16-23,2026-09-16T19:12:13Z,46,46,329,36,1905,2735,2.0.0,2.0.0,d0d72e2d26f255e92f3ec420d4430c1ffd2d3fbc,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,e6a07f5d4fd99ff92fd4a2589ac893758c476d475feb6b0d29acc5969d981088,329,278,15,41,5,2,0,12,34,73488617
archive-2026-09-17-24,2026-09-17T19:09:06Z,25,25,329,15,1073,1241,2.0.0,2.0.0,5d725f88979162a3ec4b89f633afbf7f2fdf7831,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,21976eac3bab1211988be05d8828ea01aec85402d32d169e117d6b1b1bebce6d,329,305,9,16,9,0,0,1,24,26719021
archive-2026-09-18-25,2026-09-18T18:42:27Z,49,49,329,39,2152,2941,2.0.0,2.0.0,412f0291b9a5df144665627170bc933f0285d53f,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,91837e0602509add315465b9d5cce8a1f8675d862c90e78a933147c2ccd6d489,8f33978fa0f607a5c8429f5f787c7d4bb2f596ce0206cc3d25ea0d21adee32ba,329,275,15,47,2,1,0,12,37,109997611
archive-2026-09-19-26,2026-09-19T18:20:10Z,52,52,331,42,1991,3237,2.0.0,2.0.0,1a538771565469976714babf7fdcaec6cdcf5f11,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,16cc9909d0133efcbad61207ad96859314f199de161c5c9b76ccb46e2644dbe4,e5dbcd3cec7e6d3ed753546d7811cbcd390758130512ae69ca50bd439c384c1e,331,278,11,51,1,1,0,16,36,116325683
archive-2026-09-20-27,2026-09-20T18:35:09Z,51,51,331,41,2370,2957,2.0.0,2.0.0,963af41e387b5df6daf699cad2591e7a4a501d97,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,16cc9909d0133efcbad61207ad96859314f199de161c5c9b76ccb46e2644dbe4,0bb1874fa2e656b4d3e7559c053b27eb04343f69458d6765a2ec17b5ad62ec6d,331,279,11,48,3,3,0,13,38,116445400
archive-2026-09-21-28,2026-09-21T20:32:15Z,56,56,333,46,1960,3199,2.0.0,2.0.0,02c34b0c58f01ec6b462edf30a0a11f05f0f9038,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,29ab3e3b65b547a3acd6cfd0953775c0dbf7ab30a8749a9be2d8ac71be806f50,dae9a5edacf386dc307fa53e4180e62aafb4195d8a190a7e3d9676b21a8d8d4e,333,272,15,53,3,2,0,15,41,106853797
archive-2026-09-22-29,2026-09-22T19:11:07Z,58,58,333,48,2493,3115,2.0.0,2.0.0,d256d87f7e95d297992315a26fe313df58bcb5ba,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,29ab3e3b65b547a3acd6cfd0953775c0dbf7ab30a8749a9be2d8ac71be806f50,be8067fdd67a3ea591f7cc0b37a1a1442763a3e36f599e4266976e69636a9127,333,273,12,56,2,3,0,18,40,77902396
archive-2026-09-23-30,2026-09-23T19:23:20Z,55,55,333,45,2570,3290,2.0.0,2.0.0,bb1c7c87c5006f0e24f6c3952600555b54d5f8dc,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,29ab3e3b65b547a3acd6cfd0953775c0dbf7ab30a8749a9be2d8ac71be806f50,9fd5910a7663da9c434540864951d72116621a63f1be6cda12eb53625fa264dc,333,276,12,50,5,3,0,14,41,93103679
archive-2026-09-24-31,2026-09-24T19:15:19Z,47,47,333,37,1947,3111,2.0.0,2.0.0,8ffa9eae7b842021c714bc6bcb10397be86f38a3,af4e921af26c1f6a350de6486ab86fed78f690609abe91d7c87061a5b2618d0a,d3ea5459bd019ad52cde61362a8859c921ff4033113e2a32d888d93434e87b29,29ab3e3b65b547a3acd6cfd0953775c0dbf7ab30a8749a9be2d8ac71be806f50,eb795e7fb97ba31ddd28e523e6b893f5502e01ac86fae416279256f66f41f4ca,333,289,7,42,5,1,0,10,37,85239038
