captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260915T184343Z,https://saba.ye,21,saba.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,1852649,full,42,171
20260915T184343Z,https://saba.ye/en,21,saba.ye-en-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,1428354,full,40,127
20260915T184343Z,https://mmy.ye,1,mmy.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-4,4,3240,homepage-only,1,0
20260915T184343Z,https://althawrah.ye,21,althawrah.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,3000498,full,45,137
20260915T184343Z,https://alsyasiah.ye,21,alsyasiah.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,4632193,full,102,26
20260915T184343Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-124,124,960730,full,136,274
20260915T184343Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260915T184343Z.warc.gz,archived,0,3215,full,0,1
20260915T184343Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,489618,full,7,98
20260915T184343Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,544742,full,5,131
20260915T184343Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,531174,full,6,134
20260915T184343Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,948302,full,19,107
20260915T184343Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,6087792,full,216,0
20260915T184343Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,6378843,full,76,0
20260915T184343Z,https://cama.gov.ye/,21,cama.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,5886214,full,24,3
20260915T184343Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,2526737,full,39,117
20260915T184343Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,6113781,full,63,20
20260915T184343Z,https://hasti.gov.ye/,7,hasti.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,10305131,full,17,0
20260915T184343Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,3474966,full,166,23
20260915T184343Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,706755,full,42,100
20260915T184343Z,https://mmy.gov.ye/,2,mmy.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,5576,full,0,3
20260915T184343Z,https://mohesr.gov.ye/,20,mohesr.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,1412090,full,127,189
20260915T184343Z,https://moit.gov.ye/,21,moit.gov.ye-20260915T184343Z.warc.gz,archived-homepage-only-hard-limit-fallback,0,16720,full,1,0
20260915T184343Z,https://msw.gov.ye/,1,msw.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-1,1,13604,full,0,10
20260915T184343Z,https://nsw.gov.ye/,18,nsw.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-124,124,1317908,full,21,413
20260915T184343Z,https://olympics.hasti.gov.ye/,7,olympics.hasti.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-4,4,8012244,full,3,37
20260915T184343Z,https://research-priorities.hasti.gov.ye/,11,research-priorities.hasti.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-8,8,524547,full,85,112
20260915T184343Z,http://snacc.gov.ye/,21,snacc.gov.ye-20260915T184343Z.warc.gz,archived-with-wget-exit-124,124,24878,full,1,0
