captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260914T194550Z,https://saba.ye,21,saba.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,4455816,full,59,122
20260914T194550Z,https://saba.ye/en,21,saba.ye-en-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,1857333,full,63,125
20260914T194550Z,https://mmy.ye,21,mmy.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,1125271,full,21,186
20260914T194550Z,https://althawrah.ye,21,althawrah.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-1,1,3156780,full,46,136
20260914T194550Z,https://alsyasiah.ye,21,alsyasiah.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-1,1,4605092,full,101,27
20260914T194550Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-124,124,902677,full,133,254
20260914T194550Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260914T194550Z.warc.gz,archived,0,3209,full,0,1
20260914T194550Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,402730,full,7,98
20260914T194550Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260914T194550Z.warc.gz,archived-with-wget-exit-1,1,546049,full,5,131
20260914T194550Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260914T194550Z.warc.gz,archived-with-wget-exit-1,1,532455,full,6,135
20260914T194550Z,https://agoye.gov.ye/,21,agoye.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-4,4,5647738,full,141,0
20260914T194550Z,https://algumhorihosp-san.gov.ye/,1,algumhorihosp-san.gov.ye-20260914T194550Z.warc.gz,archived,0,8202,full,1,0
20260914T194550Z,http://amanaedu.gov.ye/,1,amanaedu.gov.ye-20260914T194550Z.warc.gz,archived,0,7185,full,1,0
20260914T194550Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-4,4,6115724,full,212,0
20260914T194550Z,http://amranhealth.gov.ye/,1,amranhealth.gov.ye-20260914T194550Z.warc.gz,archived,0,7199,full,1,0
20260914T194550Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260914T194550Z.warc.gz,archived,0,3300,full,0,1
20260914T194550Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,6347988,full,82,0
20260914T194550Z,https://cama.gov.ye/,21,cama.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,5990976,full,25,3
20260914T194550Z,https://caqa.gov.ye/,1,caqa.gov.ye-20260914T194550Z.warc.gz,archived,0,8157,full,1,0
20260914T194550Z,https://cra.gov.ye/,16,cra.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-124,124,185667,full,10,91
20260914T194550Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,6214993,full,60,22
20260914T194550Z,https://gasmed.gov.ye/,17,gasmed.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-1,1,1963349,full,29,92
20260914T194550Z,https://ghosanaa.gov.ye/,3,ghosanaa.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,7857,full,3,1
20260914T194550Z,https://hasti.gov.ye/,1,hasti.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-4,4,1972,full,0,0
20260914T194550Z,https://hocc.gov.ye/,21,hocc.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-8,8,3423639,full,118,20
20260914T194550Z,https://indparkye.gov.ye/,1,indparkye.gov.ye-20260914T194550Z.warc.gz,archived-with-wget-exit-4,4,1978,full,0,0
