captured_at,site,queued_pages,archive,result,wget_exit_code,bytes,discovery,response_records,revisit_records
20260925T190808Z,https://saba.ye,21,saba.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,2777500,full,50,135
20260925T190808Z,https://saba.ye/en,21,saba.ye-en-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,2250303,full,68,176
20260925T190808Z,https://mmy.ye,21,mmy.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,643501,full,12,99
20260925T190808Z,https://althawrah.ye,21,althawrah.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-124,124,652,full,0,0
20260925T190808Z,https://alsyasiah.ye,21,alsyasiah.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-1,1,4869360,full,122,2
20260925T190808Z,https://sanaaradio.net.ye,18,sanaaradio.net.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-124,124,1131226,full,164,320
20260925T190808Z,https://yemen-tv.net.ye,1,yemen-tv.net.ye-20260925T190808Z.warc.gz,archived,0,3217,full,0,1
20260925T190808Z,https://alsahattv.com.ye,21,alsahattv.com.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,247963,full,7,99
20260925T190808Z,https://www.sohobcom.ye/ar,21,www.sohobcom.ye-ar-20260925T190808Z.warc.gz,archived-with-wget-exit-1,1,548039,full,5,129
20260925T190808Z,https://www.sohobcom.ye/en,21,www.sohobcom.ye-en-20260925T190808Z.warc.gz,archived-with-wget-exit-1,1,528060,full,6,136
20260925T190808Z,https://algumhorihosp-san.gov.ye/,16,algumhorihosp-san.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-1,1,948501,full,19,107
20260925T190808Z,https://amlcft.gov.ye/,21,amlcft.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,6088608,full,216,0
20260925T190808Z,http://amranhealth.gov.ye/,1,amranhealth.gov.ye-20260925T190808Z.warc.gz,archived,0,7208,full,1,0
20260925T190808Z,https://apps.mot.gov.ye/,1,apps.mot.gov.ye-20260925T190808Z.warc.gz,archived,0,3291,full,0,1
20260925T190808Z,https://ar.hocc.gov.ye/,21,ar.hocc.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,5121291,full,327,1
20260925T190808Z,https://caqa.gov.ye/,21,caqa.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-1,1,1919303,full,25,132
20260925T190808Z,https://en.hocc.gov.ye/,21,en.hocc.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-124,124,2823326,full,289,65
20260925T190808Z,https://gcrb.gov.ye/,21,gcrb.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,163482,full,15,80
20260925T190808Z,https://hocc.gov.ye/,1,hocc.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-4,4,1963,homepage-only,0,0
20260925T190808Z,https://indparkye.gov.ye/,4,indparkye.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-8,8,706854,full,42,100
20260925T190808Z,https://innovation-record.hasti.gov.ye/,6,innovation-record.hasti.gov.ye-20260925T190808Z.warc.gz,archived,0,843158,full,18,25
20260925T190808Z,https://meoh.gov.ye/,21,meoh.gov.ye-20260925T190808Z.warc.gz,archived-with-wget-exit-1,1,427859,full,24,190
