checked_at,url,final_url,http_status,content_type,error
2026-09-25T19:07:45+00:00,https://saba.ye,https://saba.ye/ar,200,text/html,
2026-09-25T19:07:45+00:00,https://saba.ye/en,https://saba.ye/en,200,text/html,
2026-09-25T19:07:45+00:00,https://mmy.ye,https://www.mmy.ye/,200,text/html,
2026-09-25T19:07:45+00:00,https://althawrah.ye,https://althawrah.ye,200,text/html,
2026-09-25T19:07:45+00:00,https://alsyasiah.ye,https://alsyasiah.ye,206,text/html,
2026-09-25T19:07:45+00:00,https://sanaaradio.net.ye,,0,,timed out
2026-09-25T19:07:45+00:00,https://yemen-tv.net.ye,,0,,timed out
2026-09-25T19:07:45+00:00,https://alsahattv.com.ye,https://alsahattv.com.ye,200,text/html,
2026-09-25T19:07:45+00:00,https://www.sohobcom.ye/ar,https://www.sohobcom.ye/ar,200,text/html,
2026-09-25T19:07:45+00:00,https://www.sohobcom.ye/en,https://www.sohobcom.ye/en,200,text/html,
2026-09-25T19:07:45+00:00,https://algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,
2026-09-25T19:07:46+00:00,https://amlcft.gov.ye/,https://amlcft.gov.ye/index.php/ar/,200,text/html,
2026-09-25T19:07:46+00:00,http://amranhealth.gov.ye/,,0,,timed out
2026-09-25T19:07:46+00:00,https://apps.mot.gov.ye/,https://apps.mot.gov.ye/,206,text/html,
2026-09-25T19:07:47+00:00,https://ar.hocc.gov.ye/,https://ar.hocc.gov.ye/,200,text/html,
2026-09-25T19:07:47+00:00,https://caqa.gov.ye/,https://caqa.gov.ye/,200,text/html,
2026-09-25T19:07:47+00:00,https://en.hocc.gov.ye/,https://en.hocc.gov.ye/,200,text/html,
2026-09-25T19:07:48+00:00,https://gcrb.gov.ye/,https://gcrb.gov.ye/,200,text/html,
2026-09-25T19:07:48+00:00,https://hocc.gov.ye/,https://hocc.gov.ye/,200,text/html,
2026-09-25T19:07:49+00:00,https://indparkye.gov.ye/,https://indparkye.gov.ye/,200,text/html,
2026-09-25T19:07:49+00:00,https://innovation-record.hasti.gov.ye/,https://innovation-record.hasti.gov.ye/,200,text/html,
2026-09-25T19:07:49+00:00,https://meoh.gov.ye/,https://meoh.gov.ye/,206,text/html,
2026-09-25T19:07:50+00:00,https://mmy.gov.ye/,https://mmy.gov.ye/,206,text/html,
2026-09-25T19:07:50+00:00,https://mohesr.gov.ye/,https://mohesr.gov.ye/mohesr/,200,text/html,
2026-09-25T19:07:51+00:00,https://msw.gov.ye/,https://msw.gov.ye/,206,text/html,
2026-09-25T19:07:51+00:00,https://nsw.gov.ye/,https://nsw.gov.ye/,200,text/html,
2026-09-25T19:07:51+00:00,https://olympics.hasti.gov.ye/,https://olympics.hasti.gov.ye/,200,text/html,
2026-09-25T19:07:52+00:00,http://research-priorities.hasti.gov.ye/,https://research-priorities.hasti.gov.ye/,200,text/html,
2026-09-25T19:07:53+00:00,http://sadah.gov.ye/,,0,,timed out
2026-09-25T19:07:54+00:00,http://suerp.gov.ye/,,0,,timed out
2026-09-25T19:07:55+00:00,http://www.algumhorihosp-san.gov.ye/,https://algumhorihosp-san.gov.ye/,200,text/html,
2026-09-25T19:07:55+00:00,https://www.amlcft.gov.ye/,https://www.amlcft.gov.ye/index.php/ar/,200,text/html,
2026-09-25T19:07:55+00:00,https://www.goam.gov.ye/,,0,,timed out
2026-09-25T19:07:55+00:00,http://www.hajjahmla.gov.ye/,,0,,timed out
2026-09-25T19:07:56+00:00,https://www.hasti.gov.ye/,https://www.hasti.gov.ye/,200,text/html,
2026-09-25T19:07:56+00:00,https://www.hocc.gov.ye/,https://www.hocc.gov.ye/,200,text/html,
2026-09-25T19:07:57+00:00,http://www.htb.gov.ye/,,0,,timed out
2026-09-25T19:07:57+00:00,http://www.jia.gov.ye/,,0,,timed out
2026-09-25T19:07:57+00:00,http://www.mohesr.gov.ye/,https://mohesr.gov.ye/mohesr/,200,text/html,
2026-09-25T19:07:58+00:00,https://www.moit.gov.ye/,,0,,timed out
2026-09-25T19:08:03+00:00,https://www.ysmc.gov.ye/,https://www.ysmc.gov.ye/,200,text/html,
2026-09-25T19:08:03+00:00,https://yementp.moit.gov.ye/,https://yementp.moit.gov.ye/,206,text/html,
2026-09-25T19:08:04+00:00,https://yrspc.gov.ye/,https://yrspc.gov.ye/,206,text/html,
2026-09-25T19:08:05+00:00,https://ysmc.gov.ye/,https://ysmc.gov.ye/,200,text/html,
